RUN,2020/06/23 06:01
TAG_ADD,児童生徒・保護者の皆さまへ（山口県）
TAG_ADD,facebook: {facebookYamaguchi}
TAG_ADD,学習コンテンツ（やまぐち総合教育支援サイト）
TAG_ADD,(累計)
TAG_ADD,新型コロナウイルスに関連した感染症対策に関する対応について（文部科学省）
TAG_ADD,（注）山口県から情報が提供されていないため、あくまでも参考値となります
TAG_ADD,学習支援コンテンツ
TAG_ADD,（注）3月9日以前は検査実施件数か検査人数か不明
TAG_ADD,https://nishidayoshikatsu.github.io/covid19-yamaguchi-opendata/yamaguchi-map.png
TAG_ADD,子育て中の保護者のための相談窓口一覧（チラシ）
TAG_ADD,子どものための相談窓口一覧（チラシ）
TAG_ADD,医療機関の皆さまへ
TAG_ADD,県内各市町の対策
TAG_ADD,学習支援コンテンツポータルサイト（文部科学省）
TAG_ADD,息苦しさ（呼吸困難）、強いだるさ（倦怠感）、高熱等の強い症状がある場合、または発熱や咳などの比較的軽い風邪の症状が続いている場合は、各保健所にご相談ください。
TAG_ADD,土日祝 9時から17時
TAG_ADD,been {inCloseContact} with returnees
TAG_ADD,新型コロナ受診相談窓口相談件数（累計）
TAG_ADD,お問い合わせ先（開発チームの連絡先）
TAG_ADD,検査実施<br />人数
TAG_ADD,COVID-19 prevalent area
TAG_ADD,山口県公式ホームページ
TAG_ADD,山口県公認
TAG_ADD,in close contact
TAG_ADD,山口県の対策
TAG_ADD,{num}例
TAG_ADD,入院中
TAG_ADD,学びを止めない未来の教室（経済産業省）
TAG_ADD,新型コロナ受診相談窓口に相談
TAG_ADD,新型コロナウイルス感染症対応についてのお願い
TAG_ADD,山口県民の皆様へ
TAG_ADD,（注）山口県公式サイトにて公表された日を基準とする
TAG_ADD,やまぐち学習支援プログラム（やまぐちっ子the Movie追加）
TAG_ADD,入院となります
TAG_ADD,子育て中の保護者及び子どものための相談窓口について
TAG_ADD,「新型コロナウイルスに関連する各種相談窓口について」
TAG_ADD,相談窓口
TAG_ADD,No
TAG_ADD,山口県
TAG_ADD,travel history from {area}
TAG_ADD,症状が良くならない場合は
TAG_ADD,山口県内の最新感染動向
TAG_ADD,メール：{mailYamaguchi}
TAG_ADD,退院
TAG_ADD,各保健所の電話番号等については「新型コロナウイルスに関連する各種相談窓口について」をご確認ください。
TAG_ADD,出典：山口県オープンデータカタログサイト
TAG_ADD,stopcovid19yamaguchi@gmail.com
RUN,2020/06/23 06:59
TAG_ADD,当サイトは新型コロナウイルス感染症 (COVID-19) に関する最新情報を提供するために、山口県内外の有志が開設したものです。
RUN,2020/06/23 15:01
TAG_ADD,当サイトに掲載されている情報の正確性については万全を期していますが、開発者は利用者が当サイトの情報を用いて行う一切の行為について責任を負うものではありません。
TAG_ADD,当サイトは新型コロナウイルス感染症（COVID-19）に関する最新情報を提供するために、山口県内外の有志が開設したものです。
TAG_ADD,山口県による公式情報と客観的な数値をわかりやすく伝えることで、山口県にお住まいの方や、山口県に拠点を持つ企業の方、山口県を訪れる方が、現状を把握して適切な対策を取れるようにすることを目的としています。
